org,nid,irs_name,ein,notes
Keep Growing Detroit,299,KEEP GROWING DETROIT,800892277,
Detroit Food Policy Council,151,DETROIT FOOD POLICY COUNCIL,800651401,
Black Mothers' Breastfeeding Association,52,BLACK MOTHERS BREASTFEEDING ASSOCIATION,743235491,
All Four One,13,ALL FOUR ONE,640954674,
Michigan Urban Farming Initiative (MUFI),4737,MICHIGAN URBAN FARMING INITIATIVE,611672612,
Community Chorus of Detroit,4626,COMMUNITY CHORUS OF DETROIT,611655773,
Great Lakes Environmental Law Center,248,GREAT LAKES ENVIROMENTAL LAW CENTER,611557918,
Oneda Development Corporation ,3662,ONEDA DEVELOPMENT CORPORATION,611444566,
KICK: The Agency for LGBT African-Americans ,3365,KICK THE AGENCY FOR LGBT AFRICAN- AMERICANS,562393981,
Tiny Acres,3512,TINY ACRES,473011367,
Foundation for Detroit‰Ûªs Future,4539,FOUNDATION FOR DETROITS FUTURE,464873153,
Southwest Detroit Community Justice Center,2864,SOUTHWEST DETROIT COMMUNITY JUSTICE CENTER,462780452,
Southwest Detroit Community Benefits Coalition,462,SOUTHWEST DETROIT COMMUNITY BENEFITS COALITION,462451447,
Michigan Science Center,354,MICHIGAN SCIENCE CENTER,455190355,
Wayne Children's Healthcare Access Program,534,WAYNE CHILDRENS HEALTHCARE ACCESS PROGRAM,454949783,
"Midtown Detroit, Inc",364,MIDTOWN DETROIT INC,454582324,
Reading Works,578,READING WORKS,454493786,
Empowerment Plan,203,EMPOWERMENT PLAN,453265365,
Detroit Crime Commission ,4154,DETROIT CRIME COMMISSION,452920005,
"Signal Return, Inc",4646,SIGNAL RETURN INC,452694042,
Hatch Detroit,257,HATCH DETROIT,452450389,
80 Strong Community Outreach,3177,80 STRONG COMMUNITY OUTREACH,450549558,
Central United Methodist Church Community Development Corporation,84,CENTRAL UNITED METHODIST CHURCH OF DETROIT COMMUNITY DEVELOPMENT CORP,450510041,
Voices for Earth Justice,575,VOICES FOR EARTH JUSTICE,450480344,
Detroit Recovery Project ,4186,DETROIT RECOVERY PROJECT,432078767,
Living Arts,320,LIVING ARTS,431950379,
Michigan Opportunities and Resources for Entrepreneurs (MORE),351,THE MATCHING OPPORTUNITIES AND RESOURCES TO ENTREPRENEURS PROG,421762192,
ARISE Detroit,30,ARISE DETROIT,412236779,
555 Nonprofit Studio Gallery,5,555 NON PROFIT STUDIO GALLERY,412145557,
"Council of Michigan Foundations, Inc",117,COUNCIL OF MICHIGAN FOUNDATIONS INC,386263347,
"Ukrainian-American Archives and Museum, Inc.",3771,UKRAINIAN AMERICAN ARCHIVES & MUSEUM INC,386159811,
"New Detroit, Inc",387,NEW DETROIT INC,386159215,
Detroit Rotary Foundation,173,DETROIT ROTARY FOUNDATION,386150149,
Big Brothers Big Sisters of Metropolitan Detroit,48,BIG BROTHERS BIG SISTERS OF METROPOLITAN DETROIT,386112533,
Berean Chapel of Detroit,46,BEREAN CHAPEL OF DETROIT,386109098,
"Men Who Dare, Inc",3679,MEN WHO DARE INC,386106297,
Carls Foundation,592,CARLS FOUNDATION,386099935,
Matilda R. Wilson Fund ,631,MATILDA R WILSON FUND,386087665,
Chrysler Foundation,97,THE CHRYSLER FOUNDATION,386087371,
"Friends of Assumption Foundation, Inc",234,FRIENDS OF ASSUMPTION FOUNDATION INCORPORATED,386072456,
